0	10	1			198	208	209
1	14	2			174	186	187
2	18	3			143	158	159
3	22	4			111	127	128
4	26	5			78	94	95
5	30	6			62	63	78
6	34	7			36	37	49
7	38	8			15	16	25
8	42	9			guard ring		
9	46	10			5	6	16
10	50	11			17	26	27
11	54	12			26	37	38
12	58	13			50	63	64
13	62	14			cal dot 65		
14	66	15			79	80	96
15	70	16			112	113	129
16	74	17			128	143	144
17	78	18			cal dot 160		
18	82	19			159	161	175
19	86	20			174	175	187
20	90	21			199	200	210
21	94	22			guard ring		
22	98	23			201	211	212
23	102	24			176	188	189
24	106	25			177	189	190
25	110	26			146	162	163
26	114	27			129	130	145
27	118	28			130	131	146
28	122	29			113	114	130
29	126	30			81	97	98
30	130	31			66	67	81
31	134	32			51	64	66
32	138	33			52	66	67
33	142	34			28	39	40
34	146	35			18	19	28
35	150	36			7	8	18
36	154	37			guard ring		
37	158	38			29	41	42
38	162	39			53	54	69
39	166	40			68	69	82
40	170	41			82	99	100
41	174	42			115	116	133
42	178	43			115	132	133
43	182	44			147	164	165
44	186	45			165	178	179
45	190	46			guard ring		
46	194	47			191	192	202
47	198	48			148	150	166
48	202	49			cal dot 149		
49	206	50			134	135	150
50	210	51			84	101	102
51	214	52			69	70	83
52	218	53			117	118	135
53	222	54			notch		
54	226	55			notch		
55	230	56			notch		
